Status;Tese;Área responsável;Objeto da tese;Estado;Ramo de atividade;Regime tributário;Tipo de produto que industrializa;Observações;Clientes possíveis;Data de criação;Inicial
Ativo;360 Dias;Contencioso;;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;;Clique aqui;2026-01-05;
Ativo;8 Dias;Contencioso;;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;;Clique aqui;2026-01-05;
Ativo;CPRB Transporte ZFM;Contencioso;Ação judicial para afastar a exigência da CPRB sobre a receita proveniente do transporte de cargas destinadas à Zona Franca de Manaus, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";Transporte;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;"a inexistência de relação jurídico-
tributária que obrigue a IMPETRANTE ao
recolhimento da CPRB –
INSS sobre a receita bruta - sobre as suas
receitas provenientes do transporte
internacional (prestação de serviços) de
mercadorias de origem nacional para
consumo ou industrialização na ZFM, por
serem consideradas receitas de exportação."
Ativo;ICMS Exclusão PIS COFINS;Contencioso;;"SP
AM
OUTROS";"Indústria
Comércio
Transporte";"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;
Ativo;ICMS Importação GATT;Contencioso;Ação judicial para garantir a não incidência do ICMS sobre todas as importações realizadas pela empresa, provenientes de países signatários do GATT, bem como garantir a restituição dos valores pagos a tais títulos nos últimos cinco anos.;AM;"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Empresas comerciais de Manaus realizando importação com incidência de ICMS.
Indústria de bem final não tem benefício de ICMS (paga ICMS).
Indústria de bem intermediário tem benefício de ICMS.
Essa tese só tem efeito de caixa, pois quando a empresa paga, ela também se credita, então não faz sentido para a empresa, economicamente falando OU empresas que tem saldo acumulado de ICMS importação e não tem como utilizar.";Clique aqui;2026-01-05;
Ativo;ICMS Transporte ZFM;Contencioso;Ação judicial para reconhecer a não incidência do ICMS sobre o transporte de cargas destinado à ZFM, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";Transporte;"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;
Ativo;ICMS Vendas Internas ZFM;Contencioso;Ação judicial visando reconhecer a não incidência do ICMS sobre as vendas internas, seja por substituição, antecipação e diretamente, realizadas para outras pessoas físicas ou jurídicas sediadas na Zona Franca de Manaus, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;AM;"Indústria
Comércio";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Comércio que vende para consumidos final (PJ - PF).
Para comércio de bem intermediário (PJ – PJ) essa tese só tem efeito de caixa, pois quando a empresa paga ICMS, ela também se credita de ICMS, então não faz sentido para a empresa, economicamente falando.";Clique aqui;2026-01-05;
Ativo;INSS Verbas Indenizatórias;Contencioso;Ação judicial para afastar a exigência do INSS (20%) sobre os valores pagos pela empresa aos seus empregados a título de férias, 1/3 de férias, salário-maternidade e nos 15 primeiros dias de afastamento, antes da obtenção de auxílio-doença ou auxílio-acidente, e sobre os valores pagos a título de aviso prévio indenizado, hora-extra, adicional de insalubridade, periculosidade, etc, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Verbas pacificadas (admin) x Verbas não pacificadas (judicial)

Empresa com grande número de funcionários, folha de salários alta ($$).

Podemos oferecer a Revisão Fiscal de INSS – Faremos a revisão para entender se a empresa está pagando indevidamente os 20% sobre alguma verba já pacificada.
As que não estão pacificadas estão sendo desfavoráveis no judiciário.";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a medida
liminar (art. 7º, inc. III, LMS) para suspender a
exigibilidade dos créditos tributários referentes à
contribuição previdenciária patronal, à contribuição ao
SAT/RAT e às contribuições destinadas a terceiros sobre
as verbas acima discriminadas (1. Primeiros dias de
afastamento antes da obtenção do auxílio-doença ou do
auxílio-acidente; 2. Férias gozadas; 3. Salário-
maternidade; 4. Licença-paternidade; 5. Adicional de
horas-extras; 6. Adicional noturno; 7. Adicional de insalubridade; 8. Adicional de periculosidade; 9.
Adicional sobre intervalo intrajornada não fruído; 10.
Aviso prévio indenizado; 11. 13º salário proporcional ao
aviso prévio indenizado; 12. Descanso semanal remunerado;
13. Vale-transporte; e 14. Auxílio-alimentação), até
final resolução deste mandamus, na dicção do artigo 151,
inciso IV, do Código Tributário Nacional;"
Ativo;INSS Vlr. Liq. FoPag;Contencioso;;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para suspender
a exigibilidade dos créditos tributários referentes à
contribuição previdenciária patronal, à contribuição
ao SAT/RAT e às contribuições destinadas a terceiros
sobre os valores relativos ao IRRF, à contribuição
previdenciária dos empregados/autônomos, bem como às
parcelas retidas/descontadas a título de coparticipação
do empregado em benefícios, tais como vale-transporte,
vale-refeição e plano de assistência à saúde ou
odontológico, dentre outros, até final resolução deste
mandamus, na dicção do artigo 151, inciso IV, do Código
Tributário Nacional"
Ativo;IPI Créditos Insumos ZFM;Contencioso;Ação judicial visando reconhecer o direito ao crédito de IPI sobre as aquisições de insumos realizadas por empresas sediadas na Zona Franca de Manaus, não sujeitas ao pagamento do imposto na etapa anterior, bem como assegurar o crédito relativo às aquisições realizadas nos cinco anos que antecedem a propositura da ação.;AM;Indústria;"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para autorizar
a imediata tomada e utilização, nos termos da
legislação de regência, dos créditos de IPI sobre as
aquisições matérias-primas, produtos intermediários e
materiais de embalagem adquiridos de dentro da ZFM, de
fora dessa região e importados com isenção, alíquota
zero ou não tributados, calculados como se o imposto
fosse cobrado, ainda que sejam empregados em produtos
igualmente sujeitos à isenção, alíquota zero ou não
alcançados pela tributação;"
Ativo;IPI Manutenção Crédito ZFM;Contencioso;;"SP
OUTROS";"Indústria
Comércio";"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;
Ativo;IPI Manutenção Crédito ALC;Contencioso;;"SP
OUTROS";"Indústria
Comércio";"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;
Ativo;IRPJ CSLL LP Exclusão ICMS;Contencioso;;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;IRPJ CSLL Ressarcimento Créditos;Contencioso;;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;IRPJ CSLL Subvenções ICMS;Contencioso;Ação judicial para assegurar a exclusão dos valores recebidos a título de subvenções estaduais (crédito presumido de ICMS) do lucro tributável para fins de apuração de IRPJ e CSLL, garantindo a restituição dos valores indevidamente pagos a tais títulos nos cinco anos que antecedem o ajuizamento da ação.;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte
a medida liminar (Art. 7º-III, LMS) para suspender
a exigibilidade dos créditos tributários de IRPJ,
CSLL sobre todo e qualquer valor relativo às
subvenções de ICMS (alíquota zero, crédito
presumido, isenção, redução de base, de cálculo
crédito estímulo/presumido, diferimento etc.),
independentemente de suas destinações e/ou
espécies, até final resolução deste mandamus, na
dicção do Art. 151-IV, do CTN;"
Ativo;PIS COFINS Crédito 9,25 Compras ZFM;Contencioso;Ação judicial visando garantir o direito ao creditamento integral de 9,25% de PIS e COFINS sobre mercadorias adquiridas na Zona Franca de Manaus (ZFM) por empresas optantes pelo lucro real, bem como utilizar a diferença dos créditos não escriturados nos últimos cinco anos.;"SP
OUTROS";"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para autorizar
a imediata tomada e utilização de créditos de PIS de
e COFINS nas aquisições de bens de fornecedores
situados na ZFM às alíquotas de 1,65% e 7,6%,
respectivamente, afastando a limitação imposta pelo
artigo 3º, § 12, da Lei nº 10.637/2002 e pelo artigo
3º, § 17, III, da Lei nº 10.833/2003;"
Ativo;PIS COFINS Crédito Nacionais ZFM Tributadas;Contencioso;Ação judicial para garantir (à empresa sediada na ZFM) a tomada de créditos de PIS/COFINS (9,25%) sobre a aquisição de produtos oriundos de outros estados, quando sujeitos à alíquota 0 (zero), bem como a recuperação dos créditos perdidos (não escriturados) nos últimos cinco anos.;AM;"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para autorizar
a escrituração e o aproveitamento de créditos de PIS
e COFINS calculados sobre as aquisições de mercadorias
destinadas à comercialização (Leis nº 10.637/02 e
10.833/03, art.3º-I) e/ou utilizadas como matérias-
primas, produtos intermediários, materiais de
embalagem (Leis nº 10.637/02 e 10.833/03, art.3º-II),
ativo imobilizado (Leis nº 10.637/02 e 10.833/03,art.3º-VI) e serviços (Leis nº 10.637/02 e 10.833/03,
art.3º-II) provenientes de fora e de dentro da Zona
Franca de Manaus, cujas receitas (na etapa anterior)
não tenham sido objeto de pagamento dessas contribuições
pelos fornecedores e prestadores, e desde que haja
tributação na etapa posterior (saída tributada pela
IMPETRANTE), suspendendo-se a exigibilidade daquelas
contribuições, até final resolução deste mandamus, na
dicção do artigo 151, inciso IV, do Código Tributário
Nacional;"
Ativo;PIS COFINS Crédito Importadas ZFM;Contencioso;Ação judicial para garantir (à empresa sediada na ZFM) a tomada de créditos de PIS/COFINS (9,25%) sobre a aquisição de produtos importados, quando sujeitos à alíquota 0 (zero), bem como a recuperação dos créditos perdidos (não escriturados) nos últimos cinco anos.;AM;"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para autorizar
a imediata apropriação e a utilização, nos termos da
legislação de regência, dos créditos de PIS-Importação
e COFINS-Importação quando da importação de mercadorias,
pela Zona Franca de Manaus, destinadas à utilização
como matéria-prima, produto intermediário ou material
de embalagem, bem como, as destinadas ao ativo
imobilizado e comercialização, com fundamento nas razões
suso expostas"
Ativo;PIS COFINS Crédito Nacionais ZFM Não Tributadas;Contencioso;Ação judicial para garantir (à empresa sediada na ZFM) a tomada de créditos de PIS/COFINS (9,25%) sobre a aquisição de produtos oriundos de outros estados, quando sujeitos à alíquota 0 (zero), bem como a recuperação dos créditos perdidos (não escriturados) nos últimos cinco anos.;AM;"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para autorizar
a escrituração e o aproveitamento de créditos de PIS
e COFINS, nos termos da legislação de regência,
calculados sobre as aquisições de mercadorias
destinadas à comercialização (Leis nº 10.637/02 e
10.833/03, art.3º-I) e/ou utilizadas como matérias-
primas, produtos intermediários, materiais de
embalagem (Leis nº 10.637/02 e 10.833/03, art.3º-II),
ativo imobilizado (Leis nº 10.637/02 e 10.833/03,
art.3º-VI) e serviços (Leis nº 10.637/02 e 10.833/03,
art.3º-II) provenientes de fora e de dentro da Zona
Franca de Manaus, cujas receitas (na etapa anterior)
não tenham sido objeto de pagamento dessas
contribuições pelos fornecedores e prestadores, e
independentemente de haver ou não tributação na etapa posterior, suspendendo-se a exigibilidade daquelas
contribuições, até final resolução deste mandamus, na
dicção do artigo 151, inciso IV, do Código Tributário
Nacional;"
Ativo;PIS COFINS Exclusão ISS;Contencioso;Ação judicial visando à exclusão do ISS da base de cálculo do PIS e da COFINS, incidentes sobre a receita bruta, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";"Serviço
Transporte";"Lucro Real
Lucro Presumido";Não aplicável;"A tese diz que o ISS não configura faturamento, portanto não deve ser incluído na base de cálculo do ISS.
Empresa de serviço de fora de Manaus prestando serviço para qualquer lugar.
Resumo: 
Quem exporta serviço não paga ISS
Quem importa serviço paga ISS";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar para imediatamente permitir a não
inclusão do ISS na base de cálculo do PIS e da COFINS,
suspendendo a exigibilidade dos créditos tributários
relativos ao questionado excesso dessas contribuições,
na dicção do artigo 151-IV do Código Tributário
Nacional, até final resolução deste mandamus;"
Ativo;PIS COFINS exclusão própria BC;Contencioso;Ação judicial visando assegurar a exclusão das contribuições sociais PIS e COFINS das próprias bases de cálculo, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido";Não aplicável;"Qualquer empresa (de qualquer localidade) que pague PIS e COFINS.
Não faz sentido para empresas de Manaus que só têm operação desonerada.
Operações desoneradas na ZFM:";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, III, LMS) para
imediatamente permitir a não inclusão do PIS e da
COFINS nas próprias bases de cálculo do PIS e da
COFINS, suspendendo a exigibilidade dos créditos
tributários relativos ao questionado excesso dessas
contribuições, na dicção do Artigo 151, V do Código
Tributário Nacional, até final resolução deste
processo;"
