texto_pdf;tipo_de_servico
exigibilidade do PIS/COFINS em relação às vendas de mercadorias nacionalizadas (importadas) realizadas dentro da ZFM;PIS/COFINS Importação ZFM
recolhimento do PIS e da COFINS sobre as importações de mercadorias de países signatários do GATT;ICMS Importação GATT
tributação pelo IRPJ e pela CSLL da parcela referente à correção monetária;IRPJ e CSLL restituição de tributos 
créditos do Reintegra;REINTEGRA Ampliação
IRPJ e CSLL nas subvenções concedidas pelos Estados;IRPJ CSLL Subvenções ICMS
à alíquota de 10% (dez por cento) sobre a totalidade dos depósitos devidos, referentes ao FGTS;FGTS 10%
valor-limite de 20 (vinte) salários mínimos;valor-limite de 20 (vinte) salários mínimos
apurar crédito de PIS e COFINS, na sistemática não cumulativa, sobre as aquisições de bens e serviços;PIS/COFINS créditos insumos e serviços
PIS/COFINS a compensação/restituição dos valores indevidamente recolhidos;IRPJ e CSLL restituição de tributos 
aproveitar créditos de PIS e COFINS nas aquisições de bens e produtos para revenda;PIS/COFINS créditos insumos e serviços
